fit_max,fit_median,bestRS_nl,bestRS_unbal,unique_pop
105,95,105,3,100
105,98,105,21,100
106,100,106,8,100
107,100,107,3,100
107,101,107,3,100
107,101,107,3,100
107,102,107,3,100
107,102,107,3,100
107,102,107,3,100
107,103,107,3,100
107,103,107,9,100
107,103,107,3,100
107,103,107,11,100
107,103,107,9,100
107,103,107,11,100
107,104,107,3,100
107,104,107,9,100
107,104,107,9,100
107,104,107,3,100
107,104,107,1,100
107,104,107,9,100
107,104,107,11,100
107,104,107,9,100
107,104,107,9,100
107,104,107,11,100
107,105,107,3,100
107,105,107,3,100
107,105,107,9,100
108,105,108,10,100
108,105,108,10,100
108,105,108,10,100
108,105,108,10,100
108,105,108,10,100
108,105,108,10,100
108,105,108,10,100
108,105,108,10,100
108,105,108,10,100
108,105,108,6,100
108,105,108,10,100
108,105,108,10,100
108,105,108,6,100
108,105,108,6,100
108,105,108,6,100
108,105,108,6,100
108,105,108,10,100
108,105,108,20,100
108,105,108,20,100
108,105,108,10,100
108,105,108,20,100
108,105,108,20,100
108,105,108,10,100
108,105,108,10,100
108,105,108,6,100
108,105,108,6,100
108,106,108,20,100
108,106,108,20,100
108,106,108,6,100
108,106,108,6,100
108,106,108,10,100
108,106,108,8,100
108,106,108,20,100
108,106,108,8,100
108,106,108,8,100
108,106,108,0,100
108,106,108,6,100
108,106,108,10,100
108,106,108,20,100
108,106,108,6,100
108,106,108,10,100
108,106,108,10,100
108,106,108,6,100
108,106,108,0,100
108,106,108,6,100
108,106,108,10,100
108,106,108,8,100
108,106,108,10,100
108,106,108,10,100
108,106,108,8,100
108,106,108,10,100
108,106,108,10,100
108,106,108,6,100
108,106,108,20,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,11,100
109,107,109,17,100
109,107,109,17,100
109,107,109,11,100
109,107,109,13,100
109,107,109,17,100
109,107,109,11,100
109,107,109,17,100
109,107,109,11,100
109,107,109,17,100
109,107,109,17,100
109,107,109,11,100
109,107,109,17,100
109,107,109,11,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,11,100
109,107,109,17,100
109,107,109,17,100
109,107,109,11,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,13,100
109,107,109,11,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,11,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,11,100
109,107,109,11,100
109,107,109,17,100
109,107,109,11,100
109,107,109,11,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,11,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,11,100
109,107,109,13,100
109,107,109,11,100
109,107,109,11,100
109,107,109,17,100
109,107,109,13,100
109,107,109,11,100
109,107,109,13,100
109,107,109,13,100
109,107,109,11,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,11,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,11,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,11,100
109,107,109,17,100
109,107,109,17,100
109,107,109,11,100
109,107,109,17,100
109,107,109,17,100
109,107,109,15,100
109,107,109,15,100
109,107,109,15,100
109,107,109,13,100
109,107,109,11,100
109,107,109,15,100
109,108,109,13,100
109,108,109,17,100
109,108,109,17,100
109,108,109,15,100
109,108,109,15,100
109,108,109,13,100
109,108,109,15,100
109,108,109,17,100
109,108,109,11,100
109,108,109,13,100
109,108,109,13,100
109,108,109,17,100
109,108,109,17,100
109,108,109,17,100
109,108,109,11,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,4,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,4,100
110,108,110,14,100
110,108,110,12,100
110,108,110,4,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,14,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,4,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,4,100
110,108,110,4,100
110,108,110,14,100
110,108,110,14,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,4,100
110,108,110,12,100
110,108,110,12,100
110,108,110,4,100
110,108,110,12,100
110,108,110,4,100
110,108,110,12,100
110,108,110,12,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
111,108,111,13,100
