fit_max,fit_median,bestRS_nl,bestRS_unbal,unique_pop
455,421,455,51,100
455,430,455,51,100
455,432,455,51,100
455,434,455,51,100
455,435,455,51,100
455,437,455,51,100
455,439,455,51,100
455,439,455,51,100
455,440,455,51,100
455,441,455,51,100
455,441,455,51,100
455,442,455,51,100
455,442,455,51,100
455,443,455,51,100
455,443,455,51,100
455,444,455,51,100
455,444,455,51,100
455,445,455,51,100
455,446,455,51,100
456,446,456,48,100
456,446,456,48,100
456,446,456,48,100
456,446,456,48,100
456,446,456,48,100
456,447,456,48,100
456,447,456,48,100
456,447,456,48,100
456,447,456,48,100
456,448,456,48,100
456,448,456,48,100
456,448,456,48,100
456,448,456,48,100
456,449,456,48,100
456,449,456,48,100
456,449,456,48,100
456,449,456,48,100
456,449,456,48,100
457,449,457,43,100
457,449,457,43,100
457,449,457,43,100
457,449,457,43,100
457,449,457,43,100
457,449,457,43,100
457,450,457,43,100
457,450,457,43,100
457,450,457,43,100
457,450,457,43,100
457,450,457,43,100
457,450,457,43,100
457,451,457,43,100
457,451,457,43,100
457,451,457,43,100
457,451,457,43,100
457,451,457,43,100
457,451,457,55,100
457,451,457,55,100
457,451,457,55,100
457,451,457,55,100
457,451,457,55,100
457,451,457,43,100
457,451,457,47,100
457,451,457,47,100
457,451,457,55,100
457,451,457,47,100
457,451,457,43,100
457,451,457,43,100
457,451,457,43,100
457,451,457,55,100
457,451,457,47,100
457,451,457,47,100
457,452,457,47,100
457,452,457,55,100
457,452,457,47,100
457,452,457,47,100
457,452,457,43,100
457,452,457,43,100
460,452,460,46,100
460,452,460,46,100
460,452,460,46,100
460,452,460,46,100
460,452,460,46,100
460,452,460,46,100
460,452,460,46,100
460,452,460,46,100
460,452,460,46,100
460,452,460,46,100
460,452,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,453,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,46,100
460,454,460,36,100
460,454,460,36,100
460,454,460,36,100
460,454,460,36,100
460,454,460,46,100
460,455,460,46,100
460,455,460,36,100
460,455,460,36,100
460,455,460,46,100
460,455,460,36,100
460,455,460,48,100
460,455,460,36,100
460,455,460,36,100
460,455,460,48,100
460,455,460,46,100
460,455,460,48,100
460,455,460,48,100
460,455,460,46,100
460,455,460,36,100
460,455,460,36,100
460,455,460,36,100
460,455,460,48,100
460,455,460,46,100
460,455,460,46,100
460,455,460,46,100
460,455,460,36,100
460,455,460,46,100
460,455,460,36,100
460,455,460,48,100
460,455,460,46,100
460,455,460,48,100
460,455,460,48,100
460,455,460,36,100
460,456,460,36,100
460,456,460,36,100
460,456,460,36,100
460,456,460,46,100
460,456,460,46,100
460,456,460,48,100
461,456,461,51,100
461,456,461,51,100
461,456,461,51,100
461,456,461,51,100
461,456,461,51,100
461,456,461,51,100
461,456,461,51,100
461,456,461,51,100
461,456,461,51,100
461,456,461,51,100
461,456,461,51,100
