fit_max,fit_median,bestRS_nl,bestRS_unbal,unique_pop
106,95,106,18,100
106,98,106,18,100
106,98,106,18,100
106,99,106,18,100
106,101,106,18,100
106,101,106,18,100
106,102,106,2,100
106,102,106,2,100
106,102,106,2,100
107,102,107,11,100
107,102,107,5,100
108,103,108,18,100
108,103,108,18,100
108,103,108,18,100
108,103,108,18,100
108,103,108,18,100
108,103,108,18,100
108,103,108,18,100
108,103,108,18,100
108,104,108,18,100
108,104,108,18,100
108,104,108,18,100
108,104,108,18,100
108,104,108,18,100
108,104,108,18,100
108,104,108,18,100
108,104,108,18,100
108,104,108,18,100
108,104,108,18,100
108,104,108,18,100
108,105,108,18,100
108,105,108,18,100
108,105,108,8,100
108,105,108,18,100
108,105,108,8,100
108,105,108,8,100
108,105,108,18,100
108,105,108,18,100
108,105,108,8,100
108,105,108,18,100
108,105,108,18,100
108,105,108,8,100
108,105,108,8,100
108,105,108,18,100
108,105,108,8,100
108,105,108,20,100
108,105,108,20,100
108,105,108,18,100
108,105,108,8,100
108,106,108,8,100
108,106,108,18,100
108,106,108,20,100
108,106,108,20,100
108,106,108,20,100
108,106,108,20,100
108,106,108,20,100
108,106,108,8,100
108,106,108,20,100
108,106,108,20,100
108,106,108,20,100
108,106,108,20,100
108,106,108,20,100
108,106,108,20,100
108,106,108,8,100
108,106,108,20,100
108,106,108,18,100
108,106,108,20,100
108,106,108,20,100
108,106,108,20,100
108,106,108,8,100
108,106,108,20,100
108,106,108,12,100
108,106,108,8,100
108,106,108,20,100
108,106,108,12,100
108,106,108,12,100
108,106,108,12,100
108,106,108,8,100
108,106,108,12,100
108,106,108,6,100
108,106,108,12,100
108,106,108,8,100
108,106,108,8,100
108,106,108,12,100
108,106,108,6,100
108,106,108,8,100
108,106,108,8,100
108,106,108,18,100
108,106,108,12,100
108,106,108,8,100
108,106,108,6,100
108,106,108,20,100
108,106,108,8,100
108,106,108,20,100
108,106,108,8,100
108,106,108,6,100
108,106,108,8,100
108,106,108,8,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,9,100
109,107,109,9,100
109,107,109,9,100
109,107,109,17,100
109,107,109,3,100
109,107,109,17,100
109,107,109,3,100
109,107,109,9,100
109,107,109,17,100
109,107,109,3,100
109,107,109,17,100
109,107,109,3,100
109,107,109,9,100
109,107,109,17,100
109,107,109,17,100
109,107,109,9,100
109,107,109,3,100
109,107,109,9,100
109,107,109,17,100
109,107,109,9,100
109,107,109,17,100
109,107,109,3,100
109,107,109,3,100
109,107,109,17,100
109,107,109,9,100
109,107,109,3,100
109,107,109,3,100
109,107,109,17,100
109,107,109,3,100
109,107,109,9,100
109,107,109,3,100
109,107,109,3,100
109,107,109,17,100
109,107,109,9,100
109,107,109,17,100
109,107,109,3,100
109,107,109,17,100
109,107,109,17,100
109,107,109,3,100
109,107,109,17,100
109,107,109,9,100
109,107,109,3,100
109,107,109,9,100
109,107,109,17,100
109,107,109,9,100
109,107,109,9,100
109,107,109,3,100
109,107,109,17,100
109,107,109,9,100
109,107,109,3,100
109,107,109,9,100
109,107,109,17,100
109,107,109,9,100
109,107,109,9,100
109,107,109,9,100
109,107,109,3,100
109,107,109,9,100
109,107,109,9,100
109,107,109,17,100
109,107,109,17,100
109,107,109,9,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,9,100
109,107,109,17,100
109,107,109,17,100
109,107,109,9,100
109,107,109,17,100
109,107,109,9,100
109,107,109,17,100
109,108,109,9,100
109,108,109,17,100
109,108,109,9,100
109,108,109,1,100
109,108,109,9,100
109,108,109,1,100
109,108,109,9,100
109,108,109,9,100
109,108,109,9,100
109,108,109,17,100
109,108,109,13,100
109,108,109,3,100
109,108,109,9,100
109,108,109,9,100
109,108,109,1,100
109,108,109,17,100
109,108,109,9,100
109,108,109,3,100
109,108,109,9,100
109,108,109,1,100
109,108,109,9,100
109,108,109,13,100
109,108,109,9,100
109,108,109,9,100
109,108,109,13,100
109,108,109,13,100
109,108,109,1,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
110,108,110,18,100
