fit_max,fit_median,bestRS_nl,bestRS_unbal,unique_pop
448,425,448,6,100
448,430,448,38,100
448,432,448,6,100
450,434,450,10,100
450,436,450,10,100
450,437,450,10,100
450,438,450,10,100
453,439,453,41,100
453,440,453,41,100
453,441,453,41,100
453,441,453,41,100
453,441,453,41,100
453,441,453,41,100
456,442,456,38,100
456,443,456,38,100
456,443,456,38,100
456,443,456,38,100
456,444,456,38,100
456,444,456,38,100
456,444,456,38,100
456,444,456,38,100
456,444,456,38,100
456,444,456,38,100
456,445,456,38,100
456,445,456,38,100
456,445,456,38,100
456,446,456,38,100
456,446,456,38,100
456,446,456,38,100
456,446,456,38,100
456,446,456,38,100
456,447,456,40,100
456,447,456,40,100
456,447,456,38,100
456,447,456,40,100
456,448,456,40,100
456,448,456,40,100
456,448,456,38,100
456,448,456,40,100
456,448,456,40,100
456,448,456,40,100
456,448,456,40,100
456,449,456,40,100
456,449,456,38,100
456,449,456,38,100
456,449,456,40,100
456,449,456,38,100
456,449,456,38,100
456,449,456,38,100
456,450,456,48,100
456,450,456,40,100
456,450,456,40,100
456,450,456,48,100
456,450,456,48,100
456,450,456,38,100
456,450,456,40,100
456,450,456,38,100
456,450,456,38,100
456,450,456,38,100
456,450,456,40,100
456,451,456,48,100
456,451,456,40,100
456,451,456,38,100
456,451,456,48,100
456,451,456,40,100
456,451,456,38,100
456,451,456,40,100
456,451,456,40,100
456,451,456,48,100
456,451,456,40,100
456,451,456,48,100
456,451,456,38,100
456,451,456,48,100
456,451,456,48,100
456,451,456,48,100
456,451,456,38,100
456,452,456,38,100
456,452,456,40,100
456,452,456,48,100
456,452,456,40,100
456,452,456,38,100
456,452,456,38,100
456,452,456,48,100
456,452,456,40,100
456,452,456,38,100
456,452,456,40,100
456,452,456,38,100
456,452,456,48,100
456,452,456,40,100
456,452,456,40,100
456,452,456,38,100
456,452,456,48,100
456,452,456,40,100
456,452,456,38,100
456,452,456,48,100
456,452,456,38,100
456,452,456,38,100
456,452,456,48,100
456,452,456,8,100
457,452,457,53,100
457,452,457,53,100
457,452,457,53,100
457,452,457,53,100
457,452,457,53,100
457,452,457,53,100
457,452,457,53,100
457,452,457,53,100
457,452,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
457,453,457,53,100
458,453,458,4,100
458,453,458,4,100
458,453,458,4,100
458,453,458,4,100
458,453,458,4,100
458,453,458,4,100
458,453,458,4,100
458,453,458,4,100
460,453,460,44,100
460,453,460,44,100
460,453,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,454,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,52,100
460,455,460,52,100
460,455,460,44,100
460,455,460,44,100
460,455,460,52,100
460,455,460,52,100
460,455,460,52,100
460,455,460,52,100
460,455,460,52,100
460,455,460,52,100
460,455,460,44,100
460,455,460,52,100
460,455,460,44,100
460,455,460,52,100
460,455,460,44,100
460,455,460,44,100
460,455,460,52,100
460,455,460,44,100
460,455,460,52,100
460,455,460,44,100
460,455,460,52,100
460,455,460,44,100
460,455,460,44,100
460,455,460,44,100
460,455,460,52,100
460,455,460,52,100
460,456,460,44,100
460,456,460,52,100
460,456,460,52,100
460,456,460,44,100
460,456,460,52,100
460,456,460,52,100
460,456,460,44,100
460,456,460,44,100
460,456,460,52,100
460,456,460,44,100
460,456,460,52,100
460,456,460,52,100
460,456,460,52,100
460,456,460,52,100
460,456,460,44,100
460,456,460,44,100
460,456,460,44,100
460,456,460,52,100
460,456,460,44,100
460,456,460,52,100
460,456,460,52,100
460,456,460,52,100
460,456,460,44,100
460,456,460,52,100
460,456,460,44,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,45,100
461,456,461,49,100
461,456,461,45,100
461,457,461,49,100
461,457,461,45,100
461,457,461,49,100
461,457,461,45,100
461,457,461,45,100
461,457,461,45,100
461,457,461,49,100
461,457,461,45,100
461,457,461,49,100
461,457,461,45,100
461,457,461,49,100
461,457,461,49,100
461,457,461,45,100
461,457,461,49,100
461,457,461,45,100
461,457,461,45,100
461,457,461,49,100
461,457,461,49,100
461,457,461,45,100
461,457,461,49,100
461,457,461,49,100
461,457,461,49,100
461,457,461,49,100
461,457,461,49,100
461,457,461,49,100
461,457,461,49,100
461,457,461,49,100
461,457,461,51,100
461,457,461,51,100
461,457,461,51,100
461,457,461,49,100
461,457,461,51,100
461,457,461,49,100
461,457,461,51,100
461,457,461,49,100
461,457,461,49,100
461,457,461,51,100
461,457,461,51,100
461,457,461,45,100
461,457,461,45,100
461,457,461,45,100
461,457,461,49,100
461,457,461,45,100
461,458,461,49,100
461,458,461,49,100
461,458,461,49,100
461,458,461,49,100
461,458,461,49,100
461,458,461,51,100
461,458,461,49,100
461,458,461,45,100
461,458,461,49,100
461,458,461,45,100
461,458,461,51,100
461,458,461,45,100
