fit_max,fit_median,bestRS_nl,bestRS_unbal,unique_pop
451,426,451,55,100
451,433,451,55,100
451,435,451,55,100
451,436,451,55,100
451,439,451,55,100
451,440,451,55,100
451,440,451,55,100
451,441,451,55,100
451,441,451,55,100
451,442,451,55,100
451,442,451,55,100
451,443,451,55,100
451,443,451,55,100
451,443,451,11,100
451,444,451,11,100
451,444,451,55,100
451,444,451,55,100
453,445,453,13,100
453,445,453,13,100
453,445,453,13,100
453,445,453,13,100
453,446,453,55,100
453,446,453,55,100
453,446,453,55,100
453,446,453,13,100
453,446,453,55,100
455,447,455,33,100
455,447,455,33,100
455,447,455,33,100
455,447,455,33,100
455,447,455,33,100
455,447,455,19,100
456,448,456,56,100
456,448,456,56,100
456,448,456,56,100
456,448,456,56,100
456,448,456,56,100
456,448,456,56,100
456,448,456,56,100
456,448,456,56,100
458,448,458,50,100
458,448,458,50,100
458,448,458,50,100
458,448,458,50,100
458,448,458,50,100
458,449,458,50,100
458,449,458,50,100
458,449,458,50,100
458,449,458,50,100
458,449,458,50,100
458,449,458,50,100
458,449,458,50,100
458,449,458,50,100
458,449,458,50,100
458,449,458,50,100
458,449,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,450,458,50,100
458,451,458,50,100
458,451,458,50,100
458,451,458,50,100
458,451,458,50,100
458,451,458,50,100
458,451,458,50,100
458,451,458,50,100
458,451,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,452,458,50,100
458,453,458,50,100
458,453,458,50,100
458,453,458,50,100
458,453,458,50,100
458,453,458,50,100
458,453,458,50,100
458,453,458,50,100
458,453,458,50,100
458,453,458,50,100
459,453,459,27,100
459,453,459,27,100
459,453,459,27,100
459,453,459,27,100
459,453,459,27,100
459,453,459,49,100
459,453,459,49,100
459,453,459,49,100
459,454,459,27,100
459,454,459,49,100
459,454,459,27,100
459,454,459,49,100
459,454,459,49,100
459,454,459,49,100
459,454,459,27,100
459,454,459,27,100
459,454,459,49,100
459,454,459,5,100
459,454,459,27,100
459,454,459,49,100
459,454,459,27,100
459,454,459,5,100
459,455,459,27,100
459,455,459,49,100
459,455,459,5,100
459,455,459,49,100
459,455,459,49,100
459,455,459,49,100
459,455,459,5,100
459,455,459,27,100
459,455,459,27,100
459,455,459,27,100
459,455,459,5,100
459,455,459,49,100
459,455,459,5,100
459,455,459,27,100
459,455,459,5,100
459,455,459,27,100
459,455,459,27,100
459,455,459,49,100
459,455,459,49,100
459,455,459,27,100
459,455,459,27,100
459,455,459,27,100
459,455,459,27,100
459,455,459,49,100
459,455,459,49,100
459,455,459,5,100
459,455,459,5,100
459,455,459,49,100
459,455,459,49,100
459,455,459,49,100
459,455,459,49,100
459,455,459,49,100
459,455,459,49,100
459,455,459,27,100
459,455,459,49,100
459,455,459,5,100
459,455,459,5,100
459,455,459,27,100
459,455,459,5,100
459,455,459,49,100
459,455,459,49,100
459,455,459,49,100
459,455,459,49,100
459,455,459,27,100
459,455,459,27,100
459,455,459,49,100
459,455,459,27,100
459,455,459,49,100
459,455,459,27,100
459,455,459,9,100
459,455,459,49,100
459,455,459,49,100
459,455,459,9,100
459,455,459,5,100
459,455,459,9,100
459,455,459,49,100
459,455,459,49,100
459,455,459,9,100
459,455,459,9,100
459,455,459,27,100
459,456,459,5,100
459,456,459,9,100
459,456,459,49,100
459,456,459,5,100
459,456,459,9,100
459,456,459,49,100
459,456,459,9,100
459,456,459,39,100
459,456,459,53,100
459,456,459,39,100
459,456,459,27,100
459,456,459,5,100
459,456,459,53,100
459,456,459,5,100
459,456,459,9,100
459,456,459,39,100
459,456,459,9,100
459,456,459,9,100
459,456,459,27,100
459,456,459,39,100
459,456,459,53,100
459,456,459,5,100
459,456,459,5,100
459,456,459,53,100
459,456,459,5,100
459,456,459,5,100
459,456,459,13,100
459,456,459,53,100
459,456,459,9,100
459,456,459,27,100
459,456,459,49,100
459,456,459,49,100
459,456,459,9,100
459,456,459,9,100
459,456,459,27,100
459,456,459,39,100
459,456,459,5,100
459,456,459,49,100
459,456,459,5,100
459,456,459,13,100
459,456,459,39,100
459,456,459,49,100
459,456,459,9,100
459,456,459,5,100
459,456,459,49,100
459,456,459,9,100
459,456,459,53,100
459,456,459,49,100
459,456,459,5,100
459,456,459,53,100
459,456,459,13,100
459,456,459,13,100
459,456,459,9,100
459,456,459,27,100
459,456,459,49,100
459,456,459,39,100
459,456,459,39,100
459,456,459,13,100
459,456,459,39,100
459,456,459,5,100
459,456,459,13,100
459,456,459,53,100
459,456,459,53,100
459,456,459,13,100
459,456,459,45,100
459,456,459,27,100
459,456,459,45,100
459,456,459,9,100
459,456,459,53,100
459,456,459,13,100
459,456,459,49,100
459,456,459,39,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
