fit_max,fit_median,bestRS_nl,bestRS_unbal,unique_pop
105,94,105,23,100
106,98,106,22,100
106,99,106,22,100
106,99,106,22,100
106,100,106,4,100
106,101,106,22,100
106,101,106,4,100
106,102,106,22,100
106,102,106,4,100
106,102,106,4,100
106,102,106,12,100
106,103,106,16,100
106,103,106,22,100
106,103,106,16,100
106,103,106,0,100
106,103,106,0,100
106,104,106,22,100
107,104,107,21,100
107,104,107,9,100
107,104,107,3,100
107,104,107,3,100
107,104,107,9,100
107,104,107,9,100
107,104,107,21,100
107,104,107,21,100
107,104,107,3,100
107,104,107,3,100
107,104,107,3,100
107,104,107,3,100
107,104,107,3,100
107,104,107,13,100
107,105,107,21,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
108,105,108,12,100
109,105,109,13,100
109,105,109,13,100
109,105,109,13,100
109,105,109,13,100
109,105,109,13,100
109,105,109,13,100
109,105,109,13,100
109,105,109,13,100
109,105,109,13,100
109,105,109,13,100
109,105,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,19,100
109,106,109,13,100
109,106,109,19,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,19,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,19,100
109,106,109,19,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,106,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,19,100
109,107,109,13,100
109,107,109,19,100
109,107,109,13,100
109,107,109,19,100
109,107,109,13,100
109,107,109,19,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,7,100
109,107,109,13,100
109,107,109,7,100
109,107,109,7,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,7,100
109,107,109,13,100
109,107,109,7,100
109,107,109,13,100
109,107,109,19,100
109,107,109,7,100
109,107,109,19,100
109,107,109,13,100
109,107,109,13,100
109,107,109,19,100
109,107,109,7,100
109,107,109,13,100
109,107,109,7,100
109,107,109,11,100
109,107,109,7,100
109,107,109,11,100
109,107,109,13,100
109,107,109,19,100
109,107,109,13,100
109,107,109,11,100
109,107,109,11,100
109,107,109,7,100
109,107,109,11,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,7,100
109,107,109,7,100
109,107,109,19,100
109,107,109,13,100
109,107,109,13,100
109,107,109,11,100
109,107,109,19,100
109,107,109,7,100
109,107,109,7,100
109,107,109,13,100
109,107,109,19,100
109,107,109,7,100
109,107,109,19,100
109,107,109,13,100
109,107,109,13,100
109,107,109,7,100
109,107,109,13,100
109,107,109,13,100
109,107,109,19,100
109,107,109,19,100
109,107,109,13,100
109,107,109,7,100
109,107,109,13,100
109,107,109,7,100
109,107,109,13,100
109,107,109,7,100
109,107,109,13,100
109,107,109,13,100
109,107,109,11,100
109,107,109,7,100
109,107,109,7,100
109,107,109,11,100
109,107,109,13,100
109,107,109,19,100
109,107,109,7,100
109,107,109,19,100
109,107,109,19,100
109,107,109,13,100
109,107,109,7,100
109,107,109,13,100
109,107,109,13,100
109,107,109,11,100
109,107,109,11,100
109,107,109,7,100
109,107,109,11,100
109,107,109,7,100
109,107,109,15,100
109,107,109,7,100
109,107,109,7,100
109,107,109,13,100
109,107,109,13,100
109,107,109,7,100
109,107,109,13,100
109,107,109,13,100
109,107,109,7,100
109,107,109,19,100
109,107,109,7,100
109,107,109,13,100
109,107,109,13,100
109,107,109,19,100
109,107,109,7,100
109,108,109,7,100
109,108,109,7,100
109,108,109,7,100
109,108,109,7,100
109,108,109,7,100
109,108,109,13,100
109,108,109,7,100
109,108,109,13,100
109,108,109,7,100
109,108,109,7,100
109,108,109,15,100
109,108,109,13,100
109,108,109,7,100
109,108,109,11,100
109,108,109,7,100
109,108,109,13,100
109,108,109,11,100
109,108,109,7,100
109,108,109,7,100
109,108,109,15,100
109,108,109,13,100
109,108,109,7,100
109,108,109,7,100
109,108,109,13,100
109,108,109,13,100
109,108,109,13,100
109,108,109,13,100
109,108,109,19,100
109,108,109,15,100
109,108,109,13,100
109,108,109,7,100
109,108,109,11,100
109,108,109,19,100
109,108,109,15,100
109,108,109,7,100
109,108,109,15,100
109,108,109,19,100
109,108,109,7,100
109,108,109,13,100
109,108,109,13,100
109,108,109,13,100
109,108,109,13,100
109,108,109,7,100
109,108,109,15,100
109,108,109,19,100
109,108,109,13,100
109,108,109,7,100
109,108,109,7,100
109,108,109,13,100
109,108,109,13,100
109,108,109,15,100
109,108,109,13,100
109,108,109,19,100
109,108,109,13,100
109,108,109,13,100
109,108,109,19,100
109,108,109,7,100
109,108,109,7,100
109,108,109,7,100
109,108,109,13,100
109,108,109,7,100
109,108,109,19,100
109,108,109,7,100
109,108,109,7,100
109,108,109,13,100
109,108,109,9,100
109,108,109,19,100
109,108,109,7,100
109,108,109,7,100
109,108,109,15,100
109,108,109,7,100
109,108,109,7,100
109,108,109,7,100
109,108,109,19,100
109,108,109,13,100
109,108,109,7,100
109,108,109,13,100
109,108,109,19,100
109,108,109,13,100
109,108,109,19,100
109,108,109,13,100
109,108,109,15,100
109,108,109,1,100
109,108,109,7,100
109,108,109,11,100
109,108,109,7,100
109,108,109,9,100
109,108,109,15,100
109,108,109,7,100
109,108,109,13,100
109,108,109,7,100
109,108,109,11,100
109,108,109,7,100
109,108,109,13,100
109,108,109,7,100
109,108,109,7,100
109,108,109,19,100
109,108,109,11,100
109,108,109,13,100
109,108,109,1,100
109,108,109,13,100
109,108,109,7,100
109,108,109,13,100
109,108,109,11,100
109,108,109,11,100
109,108,109,13,100
109,108,109,7,100
109,108,109,7,100
109,108,109,13,100
109,108,109,7,100
109,108,109,13,100
109,108,109,7,100
109,108,109,19,100
109,108,109,11,100
109,108,109,11,100
109,108,109,19,100
109,108,109,7,100
109,108,109,11,100
109,108,109,11,100
109,108,109,1,100
109,108,109,13,100
109,108,109,7,100
109,108,109,7,100
109,108,109,13,100
109,108,109,7,100
109,108,109,13,100
109,108,109,7,100
109,108,109,19,100
109,108,109,19,100
109,108,109,11,100
109,108,109,7,100
109,108,109,13,100
109,108,109,13,100
109,108,109,13,100
109,108,109,7,100
109,108,109,3,100
109,108,109,9,100
109,108,109,9,100
109,108,109,13,100
109,108,109,13,100
109,108,109,13,100
109,108,109,13,100
109,108,109,11,100
109,108,109,11,100
109,108,109,7,100
109,108,109,13,100
109,108,109,11,100
109,108,109,13,100
109,108,109,7,100
109,108,109,11,100
109,108,109,7,100
109,108,109,7,100
109,108,109,9,100
109,108,109,15,100
109,108,109,7,100
109,108,109,7,100
109,108,109,11,100
109,108,109,11,100
109,108,109,7,100
109,108,109,11,100
109,108,109,7,100
109,108,109,11,100
109,108,109,9,100
109,108,109,11,100
109,108,109,7,100
109,108,109,13,100
109,108,109,13,100
109,108,109,11,100
109,108,109,1,100
109,108,109,15,100
109,108,109,7,100
109,108,109,11,100
109,108,109,13,100
109,108,109,9,100
109,108,109,7,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,108,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,12,100
110,109,110,12,100
110,109,110,10,100
110,109,110,12,100
110,109,110,10,100
110,109,110,12,100
110,109,110,16,100
110,109,110,12,100
110,109,110,12,100
110,109,110,16,100
110,109,110,12,100
110,109,110,12,100
110,109,110,16,100
110,109,110,12,100
110,109,110,12,100
110,109,110,16,100
110,109,110,12,100
110,109,110,10,100
110,109,110,12,100
110,109,110,10,100
110,109,110,16,100
110,109,110,10,100
110,109,110,16,100
110,109,110,16,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,10,100
110,109,110,16,100
110,109,110,12,100
110,109,110,12,100
110,109,110,16,100
110,109,110,14,100
110,109,110,16,100
110,109,110,16,100
110,109,110,16,100
110,109,110,16,100
110,109,110,14,100
110,109,110,14,100
110,109,110,10,100
110,109,110,10,100
110,109,110,16,100
110,109,110,16,100
110,109,110,16,100
110,109,110,14,100
110,109,110,14,100
110,109,110,10,100
110,109,110,10,100
110,109,110,14,100
110,109,110,16,100
110,109,110,16,100
110,109,110,14,100
110,109,110,14,100
110,109,110,14,100
110,109,110,10,100
110,109,110,10,100
110,109,110,12,100
110,109,110,16,100
110,109,110,16,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,12,100
110,109,110,10,100
110,109,110,16,100
110,109,110,10,100
110,109,110,10,100
110,109,110,14,100
110,109,110,16,100
110,109,110,16,100
110,109,110,12,100
110,109,110,10,100
110,109,110,10,100
110,109,110,14,100
110,109,110,12,100
110,109,110,10,100
110,109,110,10,100
110,109,110,16,100
110,109,110,12,100
110,109,110,14,100
110,109,110,16,100
110,109,110,10,100
110,109,110,16,100
110,109,110,14,100
110,109,110,16,100
110,109,110,10,100
110,109,110,10,100
110,109,110,12,100
110,109,110,10,100
110,109,110,10,100
110,109,110,14,100
110,109,110,16,100
110,109,110,16,100
110,109,110,14,100
110,109,110,8,100
110,109,110,16,100
110,109,110,8,100
110,109,110,8,100
110,109,110,10,100
110,109,110,10,100
110,109,110,16,100
110,109,110,12,100
110,109,110,10,100
110,109,110,12,100
110,109,110,16,100
110,109,110,14,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,8,100
110,109,110,14,100
110,109,110,12,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,8,100
110,109,110,12,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,12,100
110,109,110,16,100
110,109,110,8,100
110,109,110,16,100
110,109,110,14,100
110,109,110,12,100
110,109,110,8,100
110,109,110,16,100
110,109,110,8,100
110,109,110,10,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,8,100
110,109,110,14,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,10,100
110,109,110,8,100
110,109,110,12,100
110,109,110,8,100
110,109,110,8,100
110,109,110,12,100
110,109,110,8,100
110,109,110,10,100
110,109,110,8,100
110,109,110,8,100
110,109,110,8,100
110,109,110,8,100
110,109,110,12,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,10,100
110,109,110,14,100
110,109,110,12,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,8,100
110,109,110,12,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,10,100
110,109,110,4,100
110,109,110,8,100
110,109,110,14,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,14,100
110,109,110,14,100
110,109,110,16,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,12,100
110,109,110,8,100
110,109,110,10,100
110,109,110,8,100
110,109,110,8,100
110,109,110,12,100
110,109,110,4,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,8,100
110,109,110,16,100
110,109,110,4,100
110,109,110,8,100
110,109,110,8,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,8,100
110,109,110,12,100
110,109,110,10,100
110,109,110,8,100
110,109,110,14,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,10,100
110,109,110,12,100
110,109,110,8,100
110,109,110,10,100
110,109,110,4,100
110,109,110,12,100
110,109,110,12,100
110,109,110,12,100
110,109,110,10,100
110,109,110,12,100
110,109,110,12,100
110,109,110,10,100
110,109,110,4,100
110,109,110,8,100
110,109,110,12,100
110,109,110,10,100
110,109,110,10,100
110,109,110,14,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,4,100
110,109,110,8,100
110,109,110,8,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,4,100
110,109,110,14,100
110,109,110,8,100
110,109,110,8,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,14,100
110,109,110,8,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,4,100
110,109,110,14,100
110,109,110,10,100
110,109,110,10,100
110,109,110,8,100
110,109,110,12,100
110,109,110,10,100
110,109,110,14,100
110,109,110,10,100
110,109,110,8,100
110,109,110,8,100
110,109,110,8,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,8,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,4,100
110,109,110,8,100
110,109,110,8,100
110,109,110,16,100
110,109,110,10,100
110,109,110,12,100
110,109,110,12,100
110,109,110,8,100
110,109,110,10,100
110,109,110,10,100
110,109,110,8,100
110,109,110,12,100
110,109,110,14,100
110,109,110,10,100
110,109,110,8,100
110,109,110,8,100
110,109,110,12,100
110,109,110,8,100
110,109,110,8,100
110,109,110,8,100
110,109,110,8,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,10,100
110,109,110,8,100
110,109,110,10,100
110,109,110,12,100
110,109,110,12,100
110,109,110,8,100
110,109,110,8,100
110,109,110,12,100
110,109,110,12,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,11,100
111,109,111,11,100
111,109,111,11,100
111,109,111,11,100
111,109,111,11,100
111,109,111,11,100
111,109,111,9,100
111,109,111,11,100
111,109,111,11,100
111,109,111,11,100
111,109,111,11,100
111,109,111,9,100
111,109,111,11,100
111,109,111,11,100
111,109,111,9,100
111,109,111,11,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,11,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,11,100
111,109,111,11,100
111,109,111,9,100
111,109,111,11,100
111,109,111,9,100
111,109,111,11,100
111,109,111,11,100
111,109,111,9,100
111,109,111,9,100
111,109,111,11,100
111,109,111,9,100
111,109,111,11,100
111,109,111,11,100
111,109,111,9,100
111,109,111,11,100
111,109,111,11,100
111,109,111,11,100
111,109,111,11,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,9,100
111,109,111,11,100
111,109,111,9,100
111,109,111,11,100
111,109,111,9,100
111,109,111,11,100
111,109,111,11,100
111,109,111,7,100
111,109,111,9,100
111,109,111,7,100
111,109,111,7,100
111,109,111,7,100
111,109,111,11,100
111,109,111,7,100
111,110,111,7,100
111,110,111,11,100
111,110,111,11,100
111,110,111,11,100
111,110,111,11,100
111,110,111,11,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,11,100
111,110,111,9,100
111,110,111,11,100
111,110,111,11,100
111,110,111,11,100
111,110,111,9,100
111,110,111,9,100
111,110,111,9,100
111,110,111,9,100
111,110,111,11,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,11,100
111,110,111,9,100
111,110,111,7,100
111,110,111,11,100
111,110,111,11,100
111,110,111,11,100
111,110,111,7,100
111,110,111,7,100
111,110,111,11,100
111,110,111,9,100
111,110,111,7,100
111,110,111,11,100
111,110,111,9,100
111,110,111,11,100
111,110,111,7,100
111,110,111,11,100
111,110,111,11,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,11,100
111,110,111,7,100
111,110,111,11,100
111,110,111,11,100
111,110,111,11,100
111,110,111,7,100
111,110,111,7,100
111,110,111,11,100
111,110,111,7,100
111,110,111,9,100
111,110,111,11,100
111,110,111,11,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,7,100
111,110,111,9,100
111,110,111,9,100
111,110,111,11,100
111,110,111,9,100
111,110,111,7,100
111,110,111,11,100
111,110,111,7,100
111,110,111,7,100
111,110,111,7,100
111,110,111,11,100
111,110,111,11,100
111,110,111,7,100
111,110,111,11,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,7,100
111,110,111,9,100
111,110,111,11,100
111,110,111,9,100
111,110,111,9,100
111,110,111,11,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,7,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,11,100
111,110,111,7,100
111,110,111,7,100
111,110,111,7,100
111,110,111,11,100
111,110,111,7,100
111,110,111,7,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,7,100
111,110,111,7,100
111,110,111,11,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,11,100
111,110,111,7,100
111,110,111,11,100
111,110,111,9,100
111,110,111,7,100
111,110,111,11,100
111,110,111,7,100
111,110,111,9,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,9,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,9,100
111,110,111,9,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,9,100
111,110,111,7,100
111,110,111,7,100
111,110,111,7,100
111,110,111,7,100
111,110,111,9,100
111,110,111,7,100
111,110,111,7,100
111,110,111,11,100
111,110,111,9,100
111,110,111,11,100
111,110,111,11,100
111,110,111,11,100
111,110,111,11,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
111,110,111,11,100
111,110,111,9,100
111,110,111,9,100
111,110,111,9,100
111,110,111,7,100
111,110,111,11,100
111,110,111,7,100
111,110,111,7,100
111,110,111,7,100
111,110,111,9,100
111,110,111,9,100
111,110,111,7,100
111,110,111,7,100
111,110,111,11,100
111,110,111,11,100
111,110,111,7,100
111,110,111,7,100
111,110,111,9,100
111,110,111,11,100
111,110,111,7,100
111,110,111,7,100
111,110,111,7,100
111,110,111,9,100
111,110,111,9,100
111,110,111,7,100
111,110,111,9,100
