fit_max,fit_median,bestRS_nl,bestRS_unbal,unique_pop
106,95,106,2,100
106,97,106,2,100
106,98,106,2,100
106,100,106,2,100
106,100,106,2,100
106,101,106,2,100
108,102,108,16,100
108,102,108,16,100
108,103,108,16,100
108,103,108,16,100
108,103,108,16,100
108,103,108,16,100
108,103,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,104,108,16,100
108,105,108,16,100
108,105,108,16,100
108,105,108,16,100
108,105,108,16,100
108,105,108,14,100
108,105,108,14,100
108,105,108,16,100
108,105,108,14,100
108,105,108,16,100
108,105,108,16,100
108,105,108,14,100
108,105,108,14,100
108,105,108,14,100
108,105,108,14,100
108,105,108,16,100
108,105,108,2,100
108,105,108,2,100
108,105,108,16,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,105,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,17,100
109,106,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,13,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,13,100
109,107,109,17,100
109,107,109,17,100
109,107,109,11,100
109,107,109,13,100
109,107,109,17,100
109,107,109,13,100
109,107,109,11,100
109,107,109,13,100
109,107,109,11,100
109,107,109,17,100
109,107,109,11,100
